date,time,open,high,low,close,volume,oi,exchangecode,symbolcode
2025-01-01,09:15:00,1593.0,1593.0,1585.5,1586.85,14237,0,1,10604
2025-01-01,09:16:00,1586.85,1589.95,1584.05,1589.85,6965,0,1,10604
2025-01-01,09:17:00,1589.85,1592.35,1589.6,1591.75,8081,0,1,10604
2025-01-01,09:18:00,1591.55,1594.6,1591.0,1594.3,6454,0,1,10604
2025-01-01,09:19:00,1594.2,1594.5,1592.95,1593.2,2890,0,1,10604
2025-01-01,09:20:00,1593.2,1595.0,1592.3,1595.0,4277,0,1,10604
2025-01-01,09:21:00,1594.5,1594.5,1591.6,1591.65,1850,0,1,10604
2025-01-01,09:22:00,1591.65,1592.55,1590.8,1591.8,4281,0,1,10604
2025-01-01,09:23:00,1592.25,1592.25,1590.55,1591.35,909,0,1,10604
2025-01-01,09:24:00,1591.35,1591.35,1589.0,1589.2,3192,0,1,10604
2025-01-01,09:25:00,1589.4,1591.05,1589.05,1590.5,975,0,1,10604
2025-01-01,09:26:00,1590.55,1592.4,1590.55,1592.0,1345,0,1,10604
2025-01-01,09:27:00,1591.6,1592.2,1589.35,1589.75,3293,0,1,10604
2025-01-01,09:28:00,1589.75,1589.75,1588.25,1588.25,2097,0,1,10604
2025-01-01,09:29:00,1588.85,1589.95,1588.05,1589.5,2103,0,1,10604
2025-01-01,09:30:00,1589.35,1590.0,1588.75,1589.2,551,0,1,10604
2025-01-01,09:31:00,1589.8,1590.0,1589.2,1589.95,688,0,1,10604
2025-01-01,09:32:00,1589.8,1589.8,1586.75,1587.45,2945,0,1,10604
2025-01-01,09:33:00,1587.8,1588.9,1587.8,1588.9,869,0,1,10604
2025-01-01,09:34:00,1588.9,1588.9,1587.8,1588.4,956,0,1,10604
2025-01-01,09:35:00,1588.9,1588.9,1588.15,1588.4,448,0,1,10604
2025-01-01,09:36:00,1588.4,1589.8,1588.25,1589.35,1300,0,1,10604
2025-01-01,09:37:00,1589.35,1589.65,1588.0,1588.0,183,0,1,10604
2025-01-01,09:38:00,1588.45,1589.05,1588.0,1588.45,385,0,1,10604
2025-01-01,09:39:00,1588.45,1589.35,1588.35,1588.35,297,0,1,10604
2025-01-01,09:40:00,1588.55,1588.55,1587.0,1587.35,664,0,1,10604
2025-01-01,09:41:00,1587.35,1588.05,1587.2,1587.4,355,0,1,10604
2025-01-01,09:42:00,1588.0,1588.5,1586.05,1586.5,3615,0,1,10604
2025-01-01,09:43:00,1586.5,1587.6,1586.5,1587.55,539,0,1,10604
2025-01-01,09:44:00,1587.55,1588.2,1587.55,1588.2,314,0,1,10604
2025-01-01,09:45:00,1587.55,1588.45,1586.4,1587.1,2641,0,1,10604
2025-01-01,09:46:00,1587.1,1588.4,1586.85,1587.7,226,0,1,10604
2025-01-01,09:47:00,1587.7,1588.0,1586.85,1587.7,1246,0,1,10604
2025-01-01,09:48:00,1587.7,1587.95,1586.0,1587.6,895,0,1,10604
2025-01-01,09:49:00,1587.65,1588.45,1587.0,1588.45,329,0,1,10604
2025-01-01,09:50:00,1588.45,1589.0,1587.3,1587.85,2286,0,1,10604
2025-01-01,09:51:00,1587.85,1588.15,1586.5,1587.25,1512,0,1,10604
2025-01-01,09:52:00,1587.85,1588.1,1587.25,1587.25,484,0,1,10604
2025-01-01,09:53:00,1587.45,1587.7,1586.15,1587.45,1965,0,1,10604
2025-01-01,09:54:00,1587.45,1587.6,1585.2,1585.2,757,0,1,10604
2025-01-01,09:55:00,1585.2,1586.95,1584.6,1586.95,2610,0,1,10604
2025-01-01,09:56:00,1586.15,1587.7,1585.7,1586.8,2031,0,1,10604
2025-01-01,09:57:00,1586.8,1587.7,1586.6,1587.4,470,0,1,10604
2025-01-01,09:58:00,1587.1,1587.75,1587.0,1587.1,414,0,1,10604
2025-01-01,09:59:00,1587.25,1587.75,1587.0,1587.25,202,0,1,10604
2025-01-01,10:00:00,1587.25,1589.05,1586.25,1588.3,2652,0,1,10604
2025-01-01,10:01:00,1587.75,1587.95,1586.85,1587.7,247,0,1,10604
2025-01-01,10:02:00,1587.1,1588.05,1586.05,1588.05,825,0,1,10604
2025-01-01,10:03:00,1588.05,1588.7,1587.0,1588.25,543,0,1,10604
2025-01-01,10:04:00,1588.3,1588.5,1587.25,1587.7,547,0,1,10604
2025-01-01,10:05:00,1587.1,1587.8,1586.8,1587.6,184,0,1,10604
2025-01-01,10:06:00,1587.6,1588.3,1586.85,1587.5,1125,0,1,10604
2025-01-01,10:07:00,1587.5,1587.55,1586.45,1587.1,1107,0,1,10604
2025-01-01,10:08:00,1587.4,1587.65,1586.5,1586.95,829,0,1,10604
2025-01-01,10:09:00,1587.5,1587.5,1586.0,1586.15,1071,0,1,10604
2025-01-01,10:10:00,1586.5,1587.6,1586.25,1587.5,564,0,1,10604
2025-01-01,10:11:00,1587.5,1588.4,1586.7,1588.0,295,0,1,10604
2025-01-01,10:12:00,1588.0,1591.45,1586.75,1589.7,4847,0,1,10604
2025-01-01,10:13:00,1590.3,1592.15,1590.1,1590.95,2516,0,1,10604
2025-01-01,10:14:00,1590.95,1591.1,1589.55,1590.35,2316,0,1,10604
2025-01-01,10:15:00,1590.35,1591.15,1590.35,1590.5,165,0,1,10604
2025-01-01,10:16:00,1590.4,1591.2,1590.0,1590.55,2070,0,1,10604
2025-01-01,10:17:00,1591.0,1591.45,1589.7,1589.8,2193,0,1,10604
2025-01-01,10:18:00,1589.9,1590.75,1588.9,1590.75,3362,0,1,10604
2025-01-01,10:19:00,1590.75,1591.0,1589.95,1590.95,1603,0,1,10604
2025-01-01,10:20:00,1590.95,1590.95,1589.15,1590.45,1271,0,1,10604
2025-01-01,10:21:00,1591.0,1591.9,1590.2,1591.5,2835,0,1,10604
2025-01-01,10:22:00,1591.5,1591.5,1589.1,1589.95,2146,0,1,10604
2025-01-01,10:23:00,1589.45,1590.4,1588.6,1589.4,3277,0,1,10604
2025-01-01,10:24:00,1589.4,1589.85,1589.0,1589.25,276,0,1,10604
2025-01-01,10:25:00,1589.25,1590.4,1589.25,1590.4,266,0,1,10604
2025-01-01,10:26:00,1590.4,1590.4,1589.0,1589.2,1295,0,1,10604
2025-01-01,10:27:00,1589.2,1590.5,1588.7,1589.85,5928,0,1,10604
2025-01-01,10:28:00,1589.55,1592.4,1589.55,1592.0,10402,0,1,10604
2025-01-01,10:29:00,1591.95,1593.5,1590.5,1592.35,10704,0,1,10604
2025-01-01,10:30:00,1592.35,1594.7,1591.75,1594.45,5248,0,1,10604
2025-01-01,10:31:00,1594.45,1595.95,1593.4,1594.75,6803,0,1,10604
2025-01-01,10:32:00,1594.75,1594.75,1592.95,1593.35,2192,0,1,10604
2025-01-01,10:33:00,1593.35,1593.7,1592.45,1592.9,1920,0,1,10604
2025-01-01,10:34:00,1592.9,1593.0,1591.6,1592.75,1646,0,1,10604
2025-01-01,10:35:00,1592.0,1593.0,1592.0,1592.8,1117,0,1,10604
2025-01-01,10:36:00,1592.15,1593.3,1592.1,1593.2,173,0,1,10604
2025-01-01,10:37:00,1592.7,1593.9,1592.7,1593.9,515,0,1,10604
2025-01-01,10:38:00,1593.9,1593.9,1592.7,1593.65,1355,0,1,10604
2025-01-01,10:39:00,1593.75,1596.3,1593.0,1593.65,20355,0,1,10604
2025-01-01,10:40:00,1594.0,1595.25,1592.8,1595.15,10174,0,1,10604
2025-01-01,10:41:00,1595.15,1595.65,1594.2,1595.15,498,0,1,10604
2025-01-01,10:42:00,1595.15,1596.2,1594.6,1595.6,5051,0,1,10604
